"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"20","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2018-19","95.8",54806,92.1,"§",NA,"Census (public). voluntary response (private)"
"21","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2017-18","96.8",53898,92.1,"§",NA,"Census (public). voluntary response (private)"
"22","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2019-20","96.9",55348,85.6,"§",NA,"Voluntary response"
"23","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2020-21","96.1",52656,90,"‡.§",NA,"Census (public). voluntary response (private)"
"24","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2011-12","97.8",52987,90.9,"¶",NA,"Census"
"25","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2016-17",NA,52184,0,"‡.¶",NA,"Census"
"26","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2015-16",NA,54335,96.1,"‡",NA,"Census"
"27","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2014-15","92.5",56967,95.9,"‡",NA,"Census"
"28","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2013-14","98.0",57377,71.3,"",NA,"Voluntary response"
"29","Varicella","UTD (unknown disease history)","States","Oregon","2020-21","95.1",39568,100,"*.‡",NA,"Census"
"30","Varicella","UTD (unknown disease history)","States","Oregon","2021-22","94.7",41538,100,"*. ‡",NA,"Census"
"31","Polio","","States","Oregon","2012-13","93.6",47102,100,"*. ‡",NA,"Census"
"32","Polio","","States","Oregon","2013-14","93.3",47649,100,"*. ‡",NA,"Census"
"33","Polio","","States","Oregon","2014-15","94.0",46229,100,"*.‡",NA,"Census"
"34","Polio","","States","Oregon","2015-16","93.7",45531,100,"*.‡",NA,"Census"
"35","Exemption","Medical Exemption","States","Oregon","2020-21","0.1",39568,100,"||",39,"Census"
"36","Exemption","Medical Exemption","States","Oregon","2018-19","0.1",45870,NA,"||",56,"Census"
"37","Exemption","Medical Exemption","States","Oregon","2019-20","0.2",45959,NA,"||",73,"Census"
"38","Exemption","Medical Exemption","States","Oregon","2017-18","0.1",45818,NA,"",62,"Census"
"39","Exemption","Medical Exemption","States","Oregon","2016-17","0.1",45705,NA,"",55,"Census"
"40","Exemption","Medical Exemption","States","Oregon","2015-16","0.1",45531,NA,"",61,"Census"
"41","Exemption","Medical Exemption","States","Oregon","2014-15","0.2",46229,NA,"",78,"Census"
"42","Exemption","Medical Exemption","States","Oregon","2013-14","0.1",47649,NA,"",62,"Census"
"43","Exemption","Medical Exemption","States","Oregon","2012-13","0.2",47102,NA,"",72,"Census"
"44","Exemption","Medical Exemption","States","Oregon","2011-12","0.2",45855,NA,"",80,"Census"
"45","Exemption","Medical Exemption","States","Oregon","2010-11",NA,NA,NA,"",NA,NA
"46","Hepatitis B","","States","Oregon","2021-22","93.8",41538,100,"*. ‡",NA,"Census"
"47","Hepatitis B","","States","Oregon","2020-21","94.0",39568,100,"*.‡",NA,"Census"
"48","Hepatitis B","","States","Oregon","2019-20","93.3",45959,100,"*.‡",NA,"Census"
"49","Hepatitis B","","States","Oregon","2018-19","93.1",45870,100,"*.‡",NA,"Census"
"50","Polio","","States","Oregon","2011-12","94.0",45855,100,"*",NA,"Census"
"51","Polio","","States","Oregon","2019-20","92.8",45959,100,"*.‡",NA,"Census"
"52","Polio","","States","Oregon","2020-21","92.0",39568,100,"*.‡",NA,"Census"
"53","Polio","","States","Oregon","2021-22","92.3",41538,100,"*. ‡",NA,"Census"
"54","Exemption","Medical Exemption","States","Oregon","2009-10","0.2",44676,NA,"",86,"Census"
"55","Exemption","Any Exemption","States","Oregon","2020-21","5.4",39568,100,"||",2118,"Census"
"56","Exemption","Any Exemption","States","Oregon","2019-20","7.1",45959,NA,"||",3265,"Census"
"57","Polio","","States","Oregon","2009-10","94.3",44676,100,"*",NA,"Census"
"58","Polio","","States","Oregon","2010-11",NA,NA,NA,"",NA,NA
"59","Polio","","States","Oregon","2018-19","92.7",45870,100,"*.‡",NA,"Census"
"60","Polio","","States","Oregon","2017-18","92.7",45818,100,"*.‡",NA,"Census"
"61","Polio","","States","Oregon","2016-17","93.5",45705,100,"*.‡",NA,"Census"
"62","Hepatitis B","","States","Oregon","2017-18","93.3",45818,100,"*.‡",NA,"Census"
"63","Exemption","Any Exemption","States","Oregon","2021-22","7.0",41538,100,"||",2895,"Census"
"64","Exemption","Any Exemption","States","Oregon","2018-19","7.7",45870,NA,"||",3513,"Census"
"65","Exemption","Any Exemption","States","Oregon","2010-11",NA,NA,NA,"",NA,NA
"66","Exemption","Any Exemption","States","Oregon","2011-12","5.9",45855,NA,"†",2728,"Census"
"67","Exemption","Any Exemption","States","Oregon","2017-18","7.6",45818,NA,"||",3489,"Census"
"68","Exemption","Any Exemption","States","Oregon","2016-17","6.7",45705,NA,"||",3047,"Census"
"69","Exemption","Any Exemption","States","Oregon","2015-16","6.3",45531,NA,"||",2871,"Census"
"70","Exemption","Any Exemption","States","Oregon","2014-15","6.0",46229,NA,"||",2771,"Census"
"71","Exemption","Any Exemption","States","Oregon","2013-14","7.1",47649,NA,"†",3393,"Census"
"72","Exemption","Any Exemption","States","Oregon","2012-13","6.5",47102,NA,"†",3082,"Census"
"73","Exemption","Medical Exemption","States","Oregon","2021-22","0.1",41538,100,"||",43,"Census"
"74","Exemption","Any Exemption","States","Oregon","2009-10","5.4",44676,NA,"†",2416,"Census"
"75","Exemption","Non-Medical Exemption","States","Oregon","2021-22","6.9",41538,100,"||",2852,"Census"
"76","Exemption","Non-Medical Exemption","States","Oregon","2012-13","6.4",47102,NA,"†",3010,"Census"
"77","Exemption","Non-Medical Exemption","States","Oregon","2011-12","5.8",45855,NA,"†",2648,"Census"
"78","Exemption","Non-Medical Exemption","States","Oregon","2010-11",NA,NA,NA,"",NA,NA
"79","Exemption","Non-Medical Exemption","States","Oregon","2009-10","5.2",44676,NA,"†",2330,"Census"
"80","Exemption","Non-Medical Exemption","States","Oregon","2014-15","5.8",46229,NA,"||",2693,"Census"
"81","Exemption","Non-Medical Exemption","States","Oregon","2013-14","7.0",47649,NA,"†",3331,"Census"
"82","Exemption","Non-Medical Exemption","States","Oregon","2015-16","6.2",45531,NA,"||",2810,"Census"
"83","Exemption","Non-Medical Exemption","States","Oregon","2016-17","6.5",45705,NA,"||",2992,"Census"
"84","Exemption","Non-Medical Exemption","States","Oregon","2018-19","7.5",45870,NA,"||",3457,"Census"
"85","Exemption","Non-Medical Exemption","States","Oregon","2017-18","7.5",45818,NA,"||",3427,"Census"
"86","Exemption","Non-Medical Exemption","States","Oregon","2020-21","5.3",39568,100,"||",2079,"Census"
"87","Exemption","Non-Medical Exemption","States","Oregon","2019-20","6.9",45959,NA,"||",3192,"Census"
"88","MMR (PAC)","MMR (PAC)","States","Oregon","2023-24","92.4",NA,NA,"",NA,""
"89","Varicella","UTD (unknown disease history)","States","Oregon","2023-24","93.9",39568,100,"*. ‡",NA,"Census"
"90","Exemption","Any Exemption","States","Oregon","2023-24","8.9",39568,100,"||",3532,"Census"
"91","Exemption","Non-Medical Exemption","States","Oregon","2023-24","8.8",39568,100,"||",3486,"Census"
"92","Exemption","Medical Exemption","States","Oregon","2023-24","0.1",39568,100,"||",46,"Census"
"93","Polio","","States","Oregon","2023-24","91.1",39568,100,"*. ‡",NA,"Census"
"94","Hepatitis B","","States","Oregon","2023-24","92.9",39568,100,"*. ‡",NA,"Census"
"95","Varicella","2 Doses (unknown disease history)","States","Oregon","2023-24","NReq",39568,100,"*. ‡",NA,"Census"
"96","Varicella","1 Dose (unknown disease history)","States","Oregon","2023-24","93.9",39568,100,"*. ‡",NA,"Census"
"97","DTP, DTaP, or DT","","States","Oregon","2023-24","90.5",39568,100,"*. ‡",NA,"Census"
"98","MMR","","States","Oregon","2023-24","91.2",39568,100,"*. ‡",NA,"Census"
"99","MMR","","States","Oregon","2024-25","90.5",38247,100,"*. ‡",NA,"Census"
"100","DTP, DTaP, or DT","","States","Oregon","2024-25","89.6",38247,100,"*. ‡",NA,"Census"
"101","MMR (PAC)","MMR (PAC)","States","Oregon","2024-25","91.6",38247,100,"",NA,"Census"
"102","Varicella","UTD (unknown disease history)","States","Oregon","2024-25","93.3",38247,100,"*. ‡",NA,"Census"
"103","Exemption","Any Exemption","States","Oregon","2024-25","9.8",38247,100,"||",3746,"Census"
"104","Exemption","Non-Medical Exemption","States","Oregon","2024-25","9.7",38247,100,"||",3715,"Census"
"105","Exemption","Medical Exemption","States","Oregon","2024-25","0.1",38247,100,"||",31,"Census"
"106","Polio","","States","Oregon","2024-25","90.4",38247,100,"*. ‡",NA,"Census"
"107","Hepatitis B","","States","Oregon","2024-25","92.5",38247,100,"*. ‡",NA,"Census"
"108","Varicella","2 Doses (unknown disease history)","States","Oregon","2024-25","NReq",38247,100,"*. ‡",NA,"Census"
"109","Varicella","1 Dose (unknown disease history)","States","Oregon","2024-25","93.3",38247,100,"*. ‡",NA,"Census"
"110","MMR (PAC)","MMR (PAC)","States","Oregon","2017-18","93.7",NA,NA,"",NA,""
"111","MMR (PAC)","MMR (PAC)","States","Oregon","2018-19","93.9",NA,NA,"",NA,""
"112","MMR (PAC)","MMR (PAC)","States","Oregon","2019-20","94.3",NA,NA,"",NA,""
"113","MMR (PAC)","MMR (PAC)","States","Oregon","2020-21","96.7",NA,NA,"",NA,""
"114","MMR (PAC)","MMR (PAC)","States","Oregon","2021-22","94.3",NA,NA,"",NA,""
"115","MMR (PAC)","MMR (PAC)","States","Oregon","2022-23","93.1",NA,NA,"",NA,""
"116","MMR","","States","Oklahoma","2010-11",NA,NA,NA,"",NA,NA
"117","MMR","","States","Oklahoma","2009-10","97.3",51128,88.9,"",NA,"Voluntary response"
"118","DTP, DTaP, or DT","","States","Oklahoma","2016-17",NA,52184,0,"‡.¶",NA,"Census"
"119","DTP, DTaP, or DT","","States","Oklahoma","2015-16","96.1",54335,96.1,"‡",NA,"Census"
"120","DTP, DTaP, or DT","","States","Oklahoma","2014-15","90.0",56967,95.9,"‡",NA,"Census"
"121","DTP, DTaP, or DT","","States","Oklahoma","2013-14","96.1",57377,71.3,"",NA,"Voluntary response"
"122","DTP, DTaP, or DT","","States","Oklahoma","2012-13","90.2",56943,95.5,"",NA,"Census"
"123","DTP, DTaP, or DT","","States","Oklahoma","2011-12","94.6",52987,90.9,"¶",NA,"Census"
"124","DTP, DTaP, or DT","","States","Oklahoma","2010-11",NA,NA,NA,"",NA,NA
"125","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2012-13","92.8",56943,95.5,"",NA,"Census"
"126","MMR","","States","Oklahoma","2017-18","92.6",53898,92.1,"§",NA,"Census (public). voluntary response (private)"
"127","MMR","","States","Oklahoma","2018-19","92.2",54806,92.1,"§",NA,"Census (public). voluntary response (private)"
"128","MMR","","States","Oklahoma","2016-17",NA,52184,0,"‡.¶",NA,"Census"
"129","MMR","","States","Oklahoma","2015-16","94.4",54335,96.1,"‡",NA,"Census"
"130","MMR","","States","Oklahoma","2019-20","93.0",55348,85.6,"§",NA,"Voluntary response"
"131","MMR","","States","Oklahoma","2020-21","90.5",52656,90,"‡.§",NA,"Census (public). voluntary response (private)"
"132","DTP, DTaP, or DT","","States","Oklahoma","2009-10","97.3",51128,88.9,"",NA,"Voluntary response"
"133","MMR","","States","Oklahoma","2021-22","90.9",54042,84.3,"‡",NA,"Vol. response"
"134","DTP, DTaP, or DT","","States","Oklahoma","2017-18","93.9",53898,92.1,"§",NA,"Census (public). voluntary response (private)"
"135","DTP, DTaP, or DT","","States","Oklahoma","2019-20","93.9",55348,85.6,"§",NA,"Voluntary response"
"136","DTP, DTaP, or DT","","States","Oklahoma","2018-19","92.7",54806,92.1,"§",NA,"Census (public). voluntary response (private)"
"137","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2010-11",NA,NA,NA,"",NA,NA
"138","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2009-10","99.7",51128,88.9,"",NA,"Voluntary response"
"139","DTP, DTaP, or DT","","States","Oklahoma","2020-21","90.3",52656,90,"‡.§",NA,"Census (public). voluntary response (private)"
"140","DTP, DTaP, or DT","","States","Oklahoma","2021-22","91.1",54042,84.3,"‡",NA,"Vol. response"
"141","MMR","","States","Oklahoma","2014-15","90.3",56967,95.9,"‡",NA,"Census"
"142","MMR","","States","Oklahoma","2013-14","96.4",57377,71.3,"",NA,"Voluntary response"
"143","MMR","","States","Oklahoma","2012-13","90.5",56943,95.5,"",NA,"Census"
"144","MMR","","States","Oklahoma","2011-12","95.0",52987,90.9,"¶",NA,"Census"
"145","Varicella","2 Doses (unknown disease history)","States","Illinois","2012-13","NReq",166884,100,"*",NA,"Census"
"146","Varicella","2 Doses (unknown disease history)","States","Illinois","2013-14","NReq",163316,100,"*",NA,"Census"
"147","Varicella","2 Doses (unknown disease history)","States","Illinois","2014-15","95.3",156942,100,"*",NA,"Census"
"148","Varicella","2 Doses (unknown disease history)","States","Illinois","2015-16","95.5",151309,100,"*",NA,"Census"
"149","Varicella","1 Dose (unknown disease history)","States","Illinois","2020-21","NReq",NA,NA,"",NA,"Not Conducted"
"150","Varicella","1 Dose (unknown disease history)","States","Illinois","2019-20","NReq",145891,100,"*",NA,"Census"
"151","Varicella","1 Dose (unknown disease history)","States","Illinois","2013-14","96.6",163316,100,"*",NA,"Census"
"152","Varicella","1 Dose (unknown disease history)","States","Illinois","2014-15",NA,156942,100,"*",NA,"Census"
"153","Varicella","1 Dose (unknown disease history)","States","Illinois","2015-16",NA,151309,100,"*",NA,"Census"
"154","Varicella","1 Dose (unknown disease history)","States","Illinois","2012-13","96.6",166884,100,"*",NA,"Census"
"155","Varicella","1 Dose (unknown disease history)","States","Illinois","2011-12","98.0",163311,100,"*",NA,"Census"
"156","DTP, DTaP, or DT","","States","Illinois","2017-18","95.3",144858,100,"*",NA,"Census"
"157","DTP, DTaP, or DT","","States","Illinois","2018-19","94.7",143876,100,"*",NA,"Census"
"158","DTP, DTaP, or DT","","States","Illinois","2019-20","96.5",145891,100,"*",NA,"Census"
"159","DTP, DTaP, or DT","","States","Illinois","2020-21","NR",NA,NA,"",NA,"Not Conducted"
"160","DTP, DTaP, or DT","","States","Illinois","2021-22","91.9",137699,100,"*",NA,"Census"
"161","Varicella","1 Dose (unknown disease history)","States","Illinois","2009-10","96.5",165845,100,"",NA,"Census"
"162","Varicella","1 Dose (unknown disease history)","States","Illinois","2010-11",NA,NA,NA,"",NA,NA
"163","Varicella","2 Doses (unknown disease history)","States","Illinois","2020-21","NR",NA,NA,"",NA,"Not Conducted"
"164","Varicella","2 Doses (unknown disease history)","States","Illinois","2019-20","96.4",145891,100,"*",NA,"Census"
"165","Varicella","2 Doses (unknown disease history)","States","Illinois","2021-22","91.8",137699,100,"*",NA,"Census"
"166","Hepatitis B","","States","Illinois","2009-10","NReq",165845,100,"",NA,"Census"
"167","Varicella","2 Doses (unknown disease history)","States","Illinois","2017-18","94.8",144858,100,"*",NA,"Census"
"168","Varicella","2 Doses (unknown disease history)","States","Illinois","2018-19","94.4",143876,100,"*",NA,"Census"
"169","Varicella","2 Doses (unknown disease history)","States","Illinois","2016-17","94.5",151309,97.7,"",NA,"Census"
"170","DTP, DTaP, or DT","","States","Illinois","2010-11",NA,NA,NA,"",NA,NA
"171","DTP, DTaP, or DT","","States","Illinois","2011-12","96.4",163311,100,"*",NA,"Census"
"172","DTP, DTaP, or DT","","States","Illinois","2016-17","95.0",151309,97.7,"",NA,"Census"
"173","Hepatitis B","","States","Illinois","2011-12","NReq",163311,100,"*",NA,"Census"
"174","Hepatitis B","","States","Illinois","2010-11",NA,NA,NA,"",NA,NA
"175","Hepatitis B","","States","Illinois","2012-13","NReq",166884,100,"*",NA,"Census"
"176","Hepatitis B","","States","Illinois","2013-14","NReq",163316,100,"*",NA,"Census"
"177","Hepatitis B","","States","Illinois","2014-15","NReq",156942,100,"*",NA,"Census"
"178","Hepatitis B","","States","Illinois","2015-16","NReq",151309,100,"*",NA,"Census"
"179","MMR","","States","Illinois","2016-17","94.9",151309,97.7,"",NA,"Census"
"180","MMR","","States","Illinois","2018-19","94.7",143876,100,"*",NA,"Census"
"181","MMR","","States","Illinois","2017-18","95.2",144858,100,"*",NA,"Census"
"182","MMR","","States","Illinois","2020-21","NR",NA,NA,"",NA,"Not Conducted"
"183","MMR","","States","Illinois","2019-20","96.6",145891,100,"*",NA,"Census"
"184","MMR","","States","Illinois","2021-22","92.1",137699,100,"*",NA,"Census"
"185","DTP, DTaP, or DT","","States","Illinois","2009-10","95.6",165845,100,"",NA,"Census"
"186","Varicella","1 Dose (unknown disease history)","States","Illinois","2021-22","NReq",137699,100,"*",NA,"Census"
"187","Varicella","2 Doses (unknown disease history)","States","Illinois","2009-10","NReq",165845,100,"",NA,"Census"
"188","Varicella","2 Doses (unknown disease history)","States","Illinois","2010-11",NA,NA,NA,"",NA,NA
"189","Varicella","2 Doses (unknown disease history)","States","Illinois","2011-12","NReq",163311,100,"*",NA,"Census"
"190","MMR","","States","Illinois","2015-16","94.9",151309,100,"*",NA,"Census"
"191","MMR","","States","Illinois","2011-12","97.3",163311,100,"*",NA,"Census"
"192","MMR","","States","Illinois","2012-13","95.5",166884,100,"*",NA,"Census"
"193","MMR","","States","Illinois","2013-14","94.7",163316,100,"*",NA,"Census"
"194","MMR","","States","Illinois","2014-15","94.7",156942,100,"*",NA,"Census"
"195","DTP, DTaP, or DT","","States","Illinois","2012-13","94.6",166884,100,"*",NA,"Census"
"196","DTP, DTaP, or DT","","States","Illinois","2013-14","95.0",163316,100,"*",NA,"Census"
"197","DTP, DTaP, or DT","","States","Illinois","2014-15","94.9",156942,100,"*",NA,"Census"
"198","DTP, DTaP, or DT","","States","Illinois","2015-16","95.0",151309,100,"*",NA,"Census"
"199","MMR","","States","Illinois","2009-10","94.5",165845,100,"",NA,"Census"
"200","MMR","","States","Illinois","2010-11",NA,NA,NA,"",NA,NA
"201","Hepatitis B","","States","Illinois","2016-17","NReq",151309,97.7,"",NA,"Census"
"202","Hepatitis B","","States","District of Columbia","2019-20",NA,NA,NA,"",NA,"Not Conducted"
"203","Hepatitis B","","States","District of Columbia","2021-22","92.5",8959,100,"*",NA,"Census"
"204","Hepatitis B","","States","District of Columbia","2020-21","90.0",8262,100,"*",NA,"Census"
"205","Exemption","Non-Medical Exemption","States","District of Columbia","2021-22","0.5",8959,100,"†",42,"Census"
"206","Exemption","Any Exemption","States","District of Columbia","2009-10","1.1",6092,NA,"",66,"Census"
"207","Exemption","Any Exemption","States","District of Columbia","2010-11",NA,NA,NA,"",NA,NA
"208","Polio","","States","District of Columbia","2009-10",NA,6092,100,"*",NA,"Census"
"209","Polio","","States","District of Columbia","2010-11",NA,NA,NA,"",NA,NA
"210","Polio","","States","District of Columbia","2011-12",NA,6854,100,"*",NA,"Census"
"211","Polio","","States","District of Columbia","2012-13",NA,7842,100,"*",NA,"Census"
"212","Polio","","States","District of Columbia","2013-14",NA,7856,100,"*",NA,"Census"
"213","Polio","","States","District of Columbia","2014-15","92.2",7840,100,"*",NA,"Census"
"214","Polio","","States","District of Columbia","2015-16","90.7",8080,100,"*",NA,"Census"
"215","Polio","","States","District of Columbia","2019-20",NA,NA,NA,"",NA,"Not Conducted"
"216","Exemption","Medical Exemption","States","District of Columbia","2014-15","0.6",7840,NA,"",46,"Census"
"217","Exemption","Medical Exemption","States","District of Columbia","2015-16","0.5",8080,NA,"",44,"Census"
"218","Exemption","Medical Exemption","States","District of Columbia","2016-17","0.6",8522,NA,"",47,"Census"
"219","Exemption","Medical Exemption","States","District of Columbia","2017-18",NA,NA,NA,"",NA,"Census"
"220","Exemption","Medical Exemption","States","District of Columbia","2019-20",NA,NA,NA,"†",NA,"Not Conducted"
"221","Exemption","Medical Exemption","States","District of Columbia","2018-19",NA,NA,NA,"",NA,"Census"
"222","Exemption","Medical Exemption","States","District of Columbia","2021-22","0.0",8959,100,"†",4,"Census"
"223","MMR (PAC)","MMR (PAC)","States","District of Columbia","2020-21","99.7",NA,NA,"",NA,""
"224","MMR (PAC)","MMR (PAC)","States","District of Columbia","2021-22","99.5",NA,NA,"",NA,""
"225","MMR (PAC)","MMR (PAC)","States","District of Columbia","2022-23","99.2",NA,NA,"",NA,""
"226","Varicella","2 Doses (unknown disease history)","States","District of Columbia","2023-24","91.3",7874,100,"*",NA,"Census"
"227","Hepatitis B","","States","District of Columbia","2023-24","93.9",7874,100,"*",NA,"Census"
"228","Polio","","States","District of Columbia","2023-24","89.4",7874,100,"*",NA,"Census"
"229","Exemption","Medical Exemption","States","District of Columbia","2023-24","0.2",7874,100,"†",15,"Census"
"230","Exemption","Non-Medical Exemption","States","District of Columbia","2023-24","2.1",7874,100,"†",166,"Census"
"231","Exemption","Any Exemption","States","District of Columbia","2023-24","2.3",7874,100,"†",181,"Census"
"232","Varicella","UTD (unknown disease history)","States","District of Columbia","2023-24","91.3",7874,100,"*",NA,"Census"
"233","MMR (PAC)","MMR (PAC)","States","District of Columbia","2023-24","97.9",NA,NA,"",NA,""
"234","Exemption","Medical Exemption","States","District of Columbia","2010-11",NA,NA,NA,"",NA,NA
"235","Exemption","Medical Exemption","States","District of Columbia","2011-12","1.3",6854,NA,"",91,"Census"
"236","Exemption","Medical Exemption","States","District of Columbia","2012-13","1.3",7842,NA,"",101,"Census"
"237","Exemption","Medical Exemption","States","District of Columbia","2013-14","1.1",7856,NA,"",85,"Census"
"238","Polio","","States","District of Columbia","2020-21","80.4",8262,100,"*",NA,"Census"
"239","Polio","","States","District of Columbia","2021-22","84.7",8959,100,"*",NA,"Census"
"240","Exemption","Medical Exemption","States","District of Columbia","2009-10","0.8",6092,NA,"",46,"Census"
"241","MMR","","States","District of Columbia","2023-24","92.0",7874,100,"*",NA,"Census"
"242","DTP, DTaP, or DT","","States","District of Columbia","2023-24","92.0",7874,100,"*",NA,"Census"
"243","Varicella","1 Dose (unknown disease history)","States","District of Columbia","2023-24","NReq",7874,100,"*",NA,"Census"
"244","DTP, DTaP, or DT","","States","District of Columbia","2024-25","90.3",7997,100,"*",NA,"Census"
"245","MMR","","States","District of Columbia","2024-25","92.7",7997,100,"*",NA,"Census"
"246","Varicella","1 Dose (unknown disease history)","States","District of Columbia","2024-25","NReq",7997,100,"*",NA,"Census"
"247","Varicella","2 Doses (unknown disease history)","States","District of Columbia","2024-25","92.1",7997,100,"*",NA,"Census"
"248","Hepatitis B","","States","District of Columbia","2024-25","94.1",7997,100,"*",NA,"Census"
"249","Polio","","States","District of Columbia","2024-25","92.3",7997,100,"*",NA,"Census"
"250","Exemption","Medical Exemption","States","District of Columbia","2024-25","0.3",7997,100,"†",20,"Census"
"251","Exemption","Non-Medical Exemption","States","District of Columbia","2024-25","2.5",7997,100,"†",197,"Census"
"252","Exemption","Any Exemption","States","District of Columbia","2024-25","2.7",7997,100,"†",217,"Census"
"253","Varicella","UTD (unknown disease history)","States","District of Columbia","2024-25","92.1",7997,100,"*",NA,"Census"
"254","MMR (PAC)","MMR (PAC)","States","District of Columbia","2024-25","97.6",7997,100,"",NA,"Census"
"255","Varicella","1 Dose (unknown disease history)","States","Delaware","2015-16",NA,11589,9.5,"",NA,"Stratified 2-stage cluster sample"
"256","Varicella","1 Dose (unknown disease history)","States","Delaware","2014-15",NA,11476,7.9,"",NA,"Stratified 2-stage cluster sample"
"257","Varicella","1 Dose (unknown disease history)","States","Delaware","2013-14",NA,11997,12.2,"",NA,"Stratified  2-stage cluster sample"
"258","Varicella","2 Doses (unknown disease history)","States","Delaware","2011-12","96.9",11327,7.4,"≥",NA,"2-stage Cluster Sample"
"259","Varicella","2 Doses (unknown disease history)","States","Delaware","2010-11",NA,NA,NA,"",NA,NA
"260","Varicella","1 Dose (unknown disease history)","States","Delaware","2021-22","NReq",11181,9.5,"‡",NA,"Stratified 2-stage cluster sample"
"261","Varicella","2 Doses (unknown disease history)","States","Delaware","2009-10","89.0",11327,9.2,"",NA,"Random sample"
"262","Varicella","2 Doses (unknown disease history)","States","Delaware","2015-16","97.6",11589,9.5,"",NA,"Stratified 2-stage cluster sample"
"263","Varicella","2 Doses (unknown disease history)","States","Delaware","2014-15","97.7",11476,7.9,"",NA,"Stratified 2-stage cluster sample"
"264","Varicella","2 Doses (unknown disease history)","States","Delaware","2013-14","96.4",11997,12.2,"≥",NA,"Stratified  2-stage cluster sample"
"265","Varicella","2 Doses (unknown disease history)","States","Delaware","2012-13","95.7",11997,7.8,"≥",NA,"2-stage Cluster Sample"
"266","Varicella","1 Dose (unknown disease history)","States","Delaware","2020-21","NReq",10587,9.2,"",NA,"Stratified 2-stage cluster sample"
"267","Varicella","1 Dose (unknown disease history)","States","Delaware","2019-20","NReq",NA,NA,"",NA,"Not Conducted"
"268","DTP, DTaP, or DT","","States","Delaware","2011-12","96.9",11327,7.4,"≥",NA,"2-stage Cluster Sample"
"269","DTP, DTaP, or DT","","States","Delaware","2010-11",NA,NA,NA,"",NA,NA
"270","DTP, DTaP, or DT","","States","Delaware","2015-16","98.0",11589,9.5,"",NA,"Stratified 2-stage cluster sample"
"271","DTP, DTaP, or DT","","States","Delaware","2014-15","97.7",11476,7.9,"",NA,"Stratified 2-stage cluster sample"
"272","DTP, DTaP, or DT","","States","Delaware","2013-14","96.4",11997,12.2,"≥",NA,"Stratified  2-stage cluster sample"
"273","DTP, DTaP, or DT","","States","Delaware","2012-13","95.7",11997,7.8,"≥",NA,"2-stage Cluster Sample"
